Datum,Novi Sad Rumenacka,Novi Sad Liman,Beocin Centar,Sremska Mitrovica,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Beograd Zeleno brdo,Sabac,Kostolac,Smederevo Centar,Obrenovac Centar,Smederevo Carina,Valjevo,Bor Institut RIM,Kragujevac,Kosjeric,Popovac,Zajecar,Cacak,Paracin,Uzice,Kraljevo,Krusevac,Kamenicki Vis EMEP,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Vranje,Vrsac
2020-02-29,22.31,6.3,15.07,19.41,30.05,13.18,36.56,27.45,25.34,27.04,8.86,31.11,42.34,0.99,22.87,44.16,16.24,,35.91,14.67,28.95,10.19,33.62,12.16,11.28,8.76,12.07,19.54,21.22,27.5,11.67
2020-03-01,24.96,6.04,9.36,22.14,33.68,21.52,43.52,27.16,24.54,27.85,6.87,35.6,45.15,1.4,28.78,49.2,18.16,,39.71,26.03,37.56,12.22,33.68,13.38,13.7,8.52,20,22.43,23.42,28.24,6.77
2020-03-02,21.19,8.15,19.18,28.95,27.8,9.16,35.2,27.77,28.62,25.06,9.34,36.59,47.31,1.19,28.07,49.24,20.61,,59.62,26.92,48.43,16.18,32.28,21.47,9.8,13,22.07,20.61,19.05,19.09,11.46
2020-03-03,22.82,10.5,15.55,22.23,25.36,19.82,31.92,31.02,30.53,23.18,11.78,35.9,38.3,1.64,17.09,55.78,15.66,31.56,52.17,23.56,43.6,10.68,28.52,11.64,7.78,8.78,28.36,24.36,12.29,10.41,9.54
2020-03-04,24.27,16.58,11.68,19.86,13.25,19.76,25.55,29.59,30.97,13.04,5.56,14.89,30.79,0.85,26.29,41.8,23.36,49.33,46.21,13.95,64,13.23,24.77,17.33,7.65,10.03,12.2,10.9,16.57,12.79,11.3
2020-03-05,28.37,14.32,16.28,30.42,25.12,22,34.5,30.36,30.62,23.91,10.73,31.95,47.74,1.46,29.82,46.2,20.26,40.81,34.57,17.67,43.66,19.51,34.46,18.21,16.87,,21.06,23.54,20.7,20.96,20.58
2020-03-06,35.08,20.4,15.32,30.97,27.08,17.66,36.01,26.43,20.99,27.45,8.79,36.75,39.67,9.14,40.64,53.46,22.31,50.71,37.81,19.59,51.23,17.86,37.76,14.96,18.56,,26.14,27.43,29.39,23.85,6.42
2020-03-07,27.49,13.42,13.77,18.41,16.49,21.95,23.48,27.94,26.68,14.87,7.07,21.22,43.26,13.17,27.68,50.45,21.35,33.91,46.64,14.46,57.62,12.76,25.8,12.96,10.71,,19.73,19.17,22.87,21.29,13.41
2020-03-08,20.51,12.31,14.18,15.59,13.17,9.93,21.8,21.41,23.1,8.97,6.4,17.41,34.35,10.98,21.69,30.99,21.92,37.3,34.85,11.51,50.3,13.68,17.54,11.75,9.86,,12.96,11.2,14.24,13.68,12.77
2020-03-09,28.83,19.21,17.17,27.71,19.03,20.47,24.88,27.21,30.94,25.9,6.93,22.35,43.07,14.91,24.53,34.05,19,41.92,33.73,20.61,38.33,19.07,30.37,14.82,12.49,,16.69,19.23,13.94,16.38,16.26
