Datum,Novi Sad Rumenacka,Beocin Centar,Beograd Stari grad,Beograd Novi Beograd,Beograd Mostar,Beograd Vracar,Smederevo Centar,Obrenovac Centar,Popovac,Nis O.s. Sveti Sava,Nis IZJZ Nis,Novi Pazar,Beograd Vracar,Novi Sad Liman,Smederevo Carina,Smederevo Radinac,Kostolac,Kragujevac,Valjevo,Kosjeric,Uzice,Zajecar,Bor,Kamenicki Vis
2020-03-04,30.12,31.55,22.96,27.35,19.73,29.23,19.38,11.09,4.66,,17.08,29.39,12.13,24.17,35.18,55.29,17.24,23.23,60.75,29.02,32.83,62.12,16.14,1.58
2020-03-05,35.37,39.63,35.66,35.79,36.33,43.02,48.23,27.29,9.9,,54.27,64.61,17.75,27.65,61.02,51.53,33.56,43.93,103.92,58.04,70.02,65.94,22.13,
2020-03-06,31.78,29.53,26.07,22.68,22.63,29.8,37.08,9.75,11.91,,61.46,89.05,14.11,25.82,45.08,49.08,21.95,39.9,165.76,74.91,88.34,66.68,40.98,
2020-03-07,28.69,33.73,27.72,32.25,23.22,33.96,29.24,12.52,6.3,,33.75,57.21,15.32,27.64,35.74,85.72,21.59,33.49,71.1,31.2,39.36,71.83,30.11,
2020-03-08,27.51,35.48,28.49,29.28,23.31,29.86,28.79,10.28,7.15,,32.95,32.84,14.24,28.01,47.83,,28.12,31.29,54.42,25.76,32.83,35.55,23.93,
2020-03-09,46.31,45.34,40.3,37.39,32.53,39.35,44.39,26.17,8.6,,41.45,48.12,17.02,34.79,61.22,,35.36,45.01,76,44.44,62.58,65.22,24.66,
2020-03-10,53.34,48.64,44.01,39.73,36.33,49.81,40.65,23.55,8.73,,37.8,45.48,21.11,39.55,54.44,49.08,35.55,36.43,97.22,40.71,54.42,34.27,14.69,
2020-03-11,64.3,29.59,50.75,42.64,45.18,57.55,80.58,35.39,10.67,,78.21,78.93,23.43,20.14,62.51,85.72,60.21,46.55,106.82,59.31,81.44,46.54,24.48,
2020-03-12,69.1,20.74,42.69,36.27,37.6,43.57,50.63,35.17,12.27,,71.72,93.97,17.77,19.96,31.53,66.12,32.29,38.28,71.64,64.56,96.48,87.37,29.74,
2020-03-13,41.49,30.88,42.05,27.64,37.31,42.33,36.36,24.39,8.48,,38.05,58.22,21.57,26.74,36.47,60.26,48.3,33.18,48.26,45.71,60.04,51.1,30.29,6.22
2020-03-14,23.9,27.53,22.78,20.12,20.48,29.63,24.54,16.69,8.42,,26.19,28.5,15.74,19.78,39.41,39.01,28.66,29.86,58.23,30.29,42.99,37.01,12.87,11.35
2020-03-15,16.46,18.28,16.85,16.73,14.14,22.08,22.66,7.72,7.35,,27.14,40.03,16.13,15.75,30.06,30.21,24.49,28.76,44.26,39.36,38.82,38.11,33,19.6
2020-03-16,37.37,19.95,21.14,16.88,20.8,26.42,28.75,7.29,12.43,,22.66,70.2,15.77,24.91,37.57,44.13,28.3,30.05,76,48.42,49.34,57.53,46.24,2.75
2020-03-17,86.26,49.7,31.49,28.67,32.71,43.18,45.5,23.92,10.74,,51.22,86.21,22,38.82,51.3,90.45,27.03,46.91,79.78,61.85,69.64,103.47,33.91,6.59
2020-03-18,67.33,46.88,58.18,58.97,50.84,73.59,83.38,31.05,11.64,,51.29,81,36.8,31.86,74.42,113.37,58.59,51.68,71.65,70.02,65.84,127.85,46.25,22.88
2020-03-19,76.08,46.37,75.84,59.43,56.38,75.77,88.35,31.73,10.42,,52.38,76.95,34.35,29.48,64.87,143.04,50.43,50.04,72.37,75.64,72.72,118.32,44.06,17.76
2020-03-20,88.33,47.81,73.86,64.6,62.91,84.89,95.98,32.89,12.21,,66.45,108.56,38.35,35.52,79.51,113.17,76.18,57.91,78.89,83.33,86.34,,,23.25
2020-03-21,69.03,43.37,58.16,49.58,43.76,62.05,57.31,26.63,11.6,,53.27,106.12,27.78,36.45,60.29,110.6,56.58,62.83,69.1,65.12,61.49,,,16.3
2020-03-22,15.41,15.83,11.46,11.72,8.22,14.33,12.12,5,5.26,,30.02,42.54,10.34,13.92,20.53,30.39,31.38,24.01,18.14,24.85,30.29,,,23.98
