Datum,Beograd Novi Beograd,Beograd Stari grad,Beograd Mostar,Beograd Vracar,Beograd Panc.most,Beograd Zeleno brdo,Bor Brezonik,Bor Institut RIM,Bor Gradski park,Cacak,Kamenicki Vis EMEP,Kikinda,Kopaonik,Kosjeric,Kostolac,Kragujevac,Kraljevo,Krusevac,Loznica,Novi Sad SPENS,Novi Sad Liman,Nis IZJZ Nis,Obrenovac Centar,Pancevo Sodara,Paracin,Sabac,Smederevo Carina,Uzice,Valjevo,Vranje,Zajecar,Smederevo Radinac
2011-03-02,34.59,30.75,31.48,20.63,57.32,,6.69,7.27,756.72,6.42,6.12,29.18,11.9,23.28,10.91,6.92,37.04,20.8,35.83,25.97,41.5,15.43,12.15,33.85,7.58,30.01,34.4,18.09,29.34,14.11,36.38,29.2
2011-03-03,59.24,33.8,35.5,34.83,60.2,,12.41,10.64,626.92,6.78,6.37,11.91,0.0,20.56,25.27,6.12,39.74,20.69,26.09,32.75,49.46,21.17,15.51,36.67,8.9,39.04,50.34,28.46,40.54,9.93,37.87,47.09
2011-03-04,67.11,50.15,62.5,51.69,67.24,,221.27,280.69,361.2,15.63,7.67,23.8,6.12,18.73,50.01,14.5,23.15,38.63,35.25,31.17,47.57,21.25,45.84,40.74,26.59,44.38,79.77,25.27,44.49,12.08,141.4,77.78
2011-03-05,36.26,26.18,32.91,33.34,61.12,37.32,57.72,23.53,62.77,28.32,20.88,10.42,9.4,17.88,19.42,21.83,43.05,54.86,38.6,23.73,32.36,36.49,35.84,21.5,57.74,31.57,85.16,35.91,53.6,10.03,253.2,78.72
2011-03-06,19.47,15.25,29.38,26.31,55.18,25.55,14.63,22.22,41.05,14.91,37.68,11.06,12.48,26.51,9.58,9.22,35.08,32.2,30.35,24.78,32.51,29.8,15.38,13.77,22.84,21.49,40.23,35.91,43.78,28.69,66.7,37.61
2011-03-07,13.33,6.42,13.23,10.46,56.98,9.84,6.12,19.22,34.38,10.17,8.36,6.12,8.89,24.84,5.05,7.41,12.01,31.6,7.53,6.44,14.9,13.34,6.12,6.94,13.6,8.33,65.57,34.31,46.52,21.28,125.55,41.82
2011-03-08,17.47,8.3,13.57,16.28,59.34,32.62,12.23,16.24,38.25,9.1,14.09,6.12,11.89,21.25,10.11,10.73,12.44,44.5,40.71,7.85,13.5,17.96,14.02,6.12,14.16,16.49,56.37,30.86,35.52,28.79,141.26,39.02
2011-03-09,63.36,50.27,53.39,51.78,57.9,56.93,22.59,18.89,34.82,9.52,21.0,8.49,15.37,16.91,171.04,11.87,17.93,53.41,55.17,33.25,39.19,29.46,21.99,64.46,21.63,39.16,91.18,46.82,54.07,13.63,120.32,69.25
2011-03-10,81.38,69.5,89.36,75.66,,,16.39,13.78,38.5,17.58,24.79,21.08,9.58,15.3,102.68,11.88,17.8,48.17,62.64,63.18,76.7,29.19,154.41,45.25,30.9,39.04,91.22,60.65,94.12,25.76,141.63,
2011-03-11,48.26,44.59,60.45,55.57,67.14,60.56,21.08,29.28,50.38,16.66,19.47,14.19,6.12,17.35,40.17,14.59,18.66,47.29,53.53,22.43,28.67,35.18,36.28,38.6,22.72,37.98,67.94,53.47,65.14,21.32,164.29,73.75
2011-03-12,40.67,31.06,48.38,36.16,62.39,32.62,14.8,39.03,88.57,13.68,6.12,15.05,6.12,15.9,19.68,7.45,16.33,36.05,24.53,22.06,28.0,30.02,19.94,26.97,9.42,34.68,34.08,40.96,46.09,14.15,97.56,38.85
2011-03-13,14.85,13.9,30.48,15.61,57.9,8.71,9.94,74.8,106.31,9.4,9.68,14.23,6.12,10.94,16.76,12.97,13.08,24.27,11.09,22.57,29.23,33.08,10.98,16.53,9.18,21.72,33.36,38.04,28.8,7.01,93.3,36.15
2011-03-14,25.62,24.83,56.59,11.32,62.88,9.88,8.34,46.93,83.89,8.8,6.12,6.64,6.12,17.06,11.17,11.68,15.88,25.7,10.91,12.25,16.65,25.5,11.34,28.71,9.3,37.05,23.11,46.82,25.91,10.67,82.68,35.63
2011-03-15,25.98,25.98,39.14,16.39,61.57,16.67,51.37,282.27,369.58,7.76,6.12,8.63,6.12,11.44,97.89,13.7,14.33,27.53,18.46,19.12,30.99,29.07,17.68,19.48,10.06,22.06,16.53,50.27,46.37,24.33,82.24,28.37
2011-03-16,26.47,16.83,27.52,13.61,57.43,12.32,36.74,35.6,204.12,10.45,6.64,16.23,6.12,12.73,12.24,11.17,18.0,20.08,21.32,14.56,27.35,36.99,10.68,13.87,7.97,20.29,21.73,60.38,45.31,10.97,78.19,26.67
2011-03-17,27.25,19.62,30.4,15.29,51.95,12.04,11.77,6.12,239.98,9.24,22.99,8.26,6.63,7.33,8.25,11.9,21.99,9.71,10.7,7.0,21.38,27.2,12.36,18.17,8.33,17.66,15.88,40.96,20.38,13.57,30.21,17.2
2011-03-18,36.14,24.87,28.07,15.54,54.55,9.58,6.12,6.12,440.34,6.71,7.43,12.65,6.12,8.47,9.31,8.51,29.95,10.46,8.32,6.4,19.54,14.3,11.33,20.36,6.12,11.74,13.36,35.11,44.28,12.24,19.93,14.34
2011-03-19,6.38,6.12,6.12,6.12,57.05,21.74,7.31,9.22,41.67,6.12,7.24,6.12,6.12,6.12,4.26,6.12,6.12,6.97,6.12,6.12,12.75,6.48,7.04,6.12,6.72,6.12,12.09,14.63,12.96,31.84,93.92,12.3
2011-03-20,6.12,6.12,6.62,6.12,53.89,8.62,6.12,13.8,321.47,6.12,8.49,6.12,8.2,13.99,3.46,6.12,6.12,9.74,6.12,6.12,11.58,8.72,6.12,6.12,8.29,6.12,8.94,7.98,6.12,15.03,117.32,8.73
2011-03-21,19.5,16.23,20.93,26.67,57.74,25.76,6.12,12.27,314.41,6.12,6.12,6.12,6.52,6.47,9.31,6.12,7.97,16.03,6.12,10.26,15.33,9.47,11.05,39.18,8.56,7.46,30.12,7.18,13.22,6.92,31.21,17.27
2011-03-22,13.04,10.41,20.78,23.47,65.85,23.55,20.45,100.56,116.64,8.8,9.61,6.69,7.51,13.61,16.76,6.12,13.06,27.4,11.62,8.9,14.7,20.88,10.74,7.58,11.95,15.31,49.61,14.63,41.74,13.56,88.51,27.32
2011-03-23,12.27,10.61,28.61,17.67,62.91,15.22,10.67,22.63,45.69,9.31,12.37,6.12,6.12,27.65,11.44,8.3,13.97,18.92,37.0,11.33,17.38,16.26,16.4,9.62,9.25,16.61,12.75,31.39,39.87,25.51,63.41,24.43
2011-03-24,7.49,7.07,20.21,10.88,59.39,11.41,8.47,17.05,34.55,11.67,16.08,6.46,7.86,24.22,7.45,6.42,16.26,21.98,64.28,14.12,15.52,14.66,37.64,6.37,12.67,11.98,9.93,38.57,47.03,14.85,54.31,18.58
2011-03-25,37.44,34.07,49.98,33.74,56.21,39.09,6.12,29.38,48.08,12.38,10.74,7.7,8.33,10.47,18.89,6.75,11.94,14.77,8.36,18.01,27.88,19.07,19.09,25.91,7.07,25.18,17.85,35.38,41.2,15.89,61.4,30.89
2011-03-26,20.83,18.64,34.32,22.36,51.64,20.24,6.42,6.12,27.98,6.12,6.12,6.12,6.12,7.89,23.67,6.12,9.31,11.14,6.4,11.87,18.81,13.71,46.17,20.4,6.12,18.93,32.36,26.87,17.92,12.41,36.74,42.55
