Datum,Beograd_Mostar,Kamenicki Vis - EMEP,Kikinda
2015-11-22,6.06,,24.34
2015-11-23,3.21,,31.23
2015-11-24,5.35,,25.94
2015-11-25,3.23,,26.65
2015-11-26,3.76,,21.91
2015-11-27,3.91,,22.23
2015-11-28,2.55,,17.24
2015-11-29,10.14,,49.45
2015-11-30,6.84,,36.26
2015-12-01,2.89,,39.10
2015-12-02,9.44,,40.90
2015-12-03,3.22,,19.93
2015-12-04,2.46,,13.01
2015-12-05,2.22,,31.93
2015-12-06,,,31.79
2015-12-07,2.18,,25.39
2015-12-08,2.81,,22.03
2015-12-09,,,21.31
2015-12-10,,,10.84
2015-12-11,,,11.54
2015-12-12,,,15.80
2015-12-13,,,17.28
2015-12-14,,,18.83
2015-12-15,,,25.55
2015-12-16,,,23.55
2015-12-17,,,32.71
2015-12-18,,,24.78
2015-12-19,,,9.92
2015-12-20,,,16.66
2015-12-21,,,17.11
2015-12-22,,,20.85
2015-12-23,,,26.3
2015-12-24,,,8.09
2015-12-25,,,12.03
2015-12-26,,,14.49
2015-12-27,,,22.35
2015-12-28,,,12.29
2015-12-29,,,14.91
2015-12-30,,,24.93
2015-12-31,,,39.16
